Basic data and indicators,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
COLOMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMOROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,180,0,0,0,0,0,0,0,0
CONGO DEMOCRATIC REPUBLIC OF THE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSTA RICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COTE D´IVOIRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROATIA,0,0,0,0,0,0,0,0,0,0,0,0,0,4393,4823,0,5526,5159,5444,4638,4355,2581,2597,2980,3500,678,907
CUBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CURAÇAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYPRUS,360,365,422,484,540,588,684,744,737,859,914,932,1081,1210,1172,1246,1209,1194,1115,1209,1119,1268,1407,1446,1578,482,514
CZECH REPUBLIC (CZECHIA),0,0,0,0,0,0,0,0,0,0,0,0,11508,12713,12336,11891,0,0,0,0,0,0,0,0,0,0,0
DENMARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJIBOUTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMINICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMINICAN REPUBLIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECUADOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGYPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4716,4618,4863,5678,5782,6180,0,0,0,0,0,0,0
EL SALVADOR,348,492,627,868,787,923,933,1001,940,1079,1239,1242,1012,0,1345,1421,1469,1462,1515,1515,1618,1804,1871,1788,1899,515,1093
EQUATORIAL GUINEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERITREA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTONIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESWATINI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHIOPIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINLAND,0,0,0,0,0,0,0,0,0,0,6668,6428,6413,6566,6693,7485,8238,9978,9526,9783,10022,10278,10480,10480,10440,2690,2270
FRANCE,0,0,0,0,0,0,0,0,0,0,0,27107,33144,30960,30646,29973,31153,29642,30457,31941,30608,29636,44265,48069,49276,21287,22007
FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEORGIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,191,222,233,260,188,0
GREECE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRENADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUADELOUPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0
GUAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUATEMALA,333,333,331,391,485,488,580,629,658,854,982,1055,1168,1277,651,694,718,721,846,992,1130,1195,1328,1538,1703,508,437
GUINEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUINEA-BISSAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUYANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAITI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HONDURAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,1092,1072,1055,1065,1150,1121,727,703,0,0,0
HONG KONG CHINA,0,0,0,47594,53144,58901,61096,64540,60936,68903,72300,75812,80682,81911,81958,84442,84816,85276,84414,84519,89082,91758,91304,92214,94715,8261,905
HUNGARY,13083,12064,12173,12317,10622,11065,11167,12966,14283,17558,17759,16597,17056,17162,16640,16082,16634,16143,16038,16340,17276,18895,20297,22805,24860,12727,13258
ICELAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDONESIA,0,0,0,0,0,2205,2505,3231,3478,3941,4106,4967,5158,5486,5053,6235,6750,7454,8025,8074,8176,8340,8856,9468,11689,2918,1711
IRAN ISLAMIC REPUBLIC OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7698,6620,9007,10543,7243,0,1550,2626
IRAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRELAND,2547,2733,3053,3330,3576,3783,4216,4634,4929,5409,6113,6848,7713,7877,7047,6917,6514,6600,6579,6676,7094,7646,8171,8643,9350,2326,2276
ISRAEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITALY,0,0,40196,42431,42390,44628,43611,44660,46357,40400,43407,46369,49166,54421,54839,55304,52617,53338,52633,55169,57418,57480,60042,61195,62207,21448,17588
JAMAICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAPAN,15298,16695,16803,15806,16358,17819,16216,16523,13296,16831,17404,17535,17295,15987,15446,16637,16994,18491,17473,16903,16214,17116,17889,18954,20081,3174,512
JORDAN,0,0,0,0,0,0,0,0,0,0,0,0,0,2288,2466,3086,2194,1780,1744,1407,1633,1745,0,0,0,0,0
KAZAKHSTAN,0,0,0,0,0,0,0,0,0,0,0,3688,4544,4330,5423,6019,8020,9066,10144,10450,11303,9756,10261,10646,10707,2865,3501
KENYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRIBATI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOREA DEMOCRATIC PEOPLE´S REPUBLIC OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOREA REPUBLIC OF,3819,4649,4542,3067,4342,5508,6084,7123,7086,8826,10080,11610,13325,11996,9494,12488,12694,13737,14846,16081,19310,22383,26496,28696,28714,4276,1223
KUWAIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KYRGYZSTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,2273,2354,1342,3061,3621,3993,3790,4008,4185,4446,6839,5314,1520,1808
LAO PEOPLE´S DEMOCRATIC REPUBLIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686,1788,2052,2857,3320,3067,3059,3049,3207,2690,707,0
LATVIA,1812,1798,1877,1961,2256,2596,2697,2306,2286,2457,2959,3151,3398,3782,3268,3332,3257,1830,1776,1846,1720,1939,2055,2175,2384,690,629
LEBANON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LESOTHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIBERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIBYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIECHTENSTEIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LITHUANIA,0,0,0,0,0,0,0,0,0,0,0,4362,3627,3847,3639,4311,4020,4108,4228,4292,3981,4143,4294,4702,4881,1643,1743
LUXEMBOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACAO CHINA,0,0,0,0,0,0,0,0,0,0,629,645,599,606,671,753,908,1291,1446,1537,1466,1251,1391,1780,1765,124,148
MADAGASCAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALAWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0
MALAYSIA,20642,23333,26165,25631,26067,30532,36248,29866,32201,30761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALDIVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALTA,0,0,0,0,0,0,0,0,0,0,0,0,0,292,292,328,348,368,404,430,456,550,633,728,774,218,344
MARSHALL ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARTINIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAURITANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEXICO,103161,103442,107242,107927,117383,127268,123732,124633,123015,128903,128392,122022,109540,107519,98228,91658,88113,87332,90787,90982,94988,97372,94274,86280,82752,36056,32836
MICRONESIA FEDERATED STATES OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLDOVA REPUBLIC OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,117,136,147,158,181,190,177,229,264,311,75,218
MONACO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONGOLIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTENEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOROCCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZAMBIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYANMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAMIBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NETHERLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW CALEDONIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW ZEALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NICARAGUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH MACEDONIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTHERN MARIANA ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMAN,0,0,0,0,0,0,0,0,0,0,2496,2664,2945,3100,2470,2829,3341,3972,4301,4727,5424,5902,6368,5975,6633,1657,1949
PAKISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPUA NEW GUINEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARAGUAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,1882,1885,495,476
PERU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHILIPPINES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLAND,36387,44713,48610,49328,55097,56677,53122,45043,38730,37226,40841,44696,47561,50243,39270,42760,43270,48290,52580,35400,44300,44500,46700,48600,50600,26906,0
PORTUGAL,0,0,0,0,0,0,0,0,0,17141,18110,18378,20989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUERTO RICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QATAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REUNION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROMANIA,5737,5748,6243,6893,6274,6388,6408,5757,6497,6972,7140,8906,10980,13072,11723,10905,10936,11149,11364,12299,13118,16128,19953,21039,23066,9510,11643
RUSSIAN FEDERATION,21329,12260,11182,10635,12631,18371,18030,20428,20572,24507,28416,29107,34285,36538,34276,39323,43726,47813,54069,45889,34550,31659,39629,41964,45330,12361,0
RWANDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SABA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAINT KITTS AND NEVIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAINT LUCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAINT VINCENT AND THE GRENADINES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN MARINO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO TOME AND PRINCIPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAUDI ARABIA,0,0,0,0,0,0,0,0,0,4234,5009,2336,4817,4705,6467,18625,15865,20084,22535,22323,25054,27618,28748,27425,27196,6657,10678
SENEGAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERBIA AND MONTENEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEYCHELLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIERRA LEONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINGAPORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINT EUSTATIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINT MAARTEN (DUTCH PART),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLOVAKIA,0,0,0,0,0,0,0,0,0,0,2987,3149,3603,3683,3230,2692,3285,2689,2129,2406,2777,3095,3870,4662,5214,1044,1562
SLOVENIA,0,0,0,0,0,0,0,0,0,0,6736,6814,5569,5490,5575,5340,5073,4465,4440,4672,4909,5408,5410,5409,6049,1892,3032
SOLOMON ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOMALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH AFRICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH SUDAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPAIN,0,0,0,0,0,0,0,0,0,0,0,0,12709,13042,13754,14254,15944,14916,13434,13952,17625,18277,20274,22287,22816,6236,8538
SRI LANKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STATE OF PALESTINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUDAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SURINAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWEDEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22121,19939,19061,6081,7615
SWITZERLAND,0,0,0,0,0,0,0,0,17548,0,0,0,0,17407,16522,15902,18949,20293,20303,19833,22086,21536,22481,24572,19797,7694,10164
SYRIAN ARAB REPUBLIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAIWAN PROVINCE OF CHINA,5189,5714,6162,5912,6559,7329,7153,7319,5923,7781,8208,8671,8964,8465,8143,9415,9584,10240,11053,11845,13183,14589,15655,16645,17101,2336,360
TAJIKISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANZANIA UNITED REPUBLIC OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371
THAILAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMOR-LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TONGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINIDAD AND TOBAGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUNISIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TÜRKIYE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
